lottery,position,year,asOf,profit,baseProfit,roi,days,dominant,dominance,switches,maxDD,unobservedDays
"หวยลาว VISA","สองล่าง","2025","2025-12-31","-268","-268","-8.200734394124847","61","Bottom","50","1","-394","4"
"หวยลาว VISA","สองล่าง","2026","2026-09-12","-1219","-1219","-8.513164327117815","255","Mid","37.5","3","-1581","0"
"หวยลาวกาชาด","สองบน","2024","2024-12-31","-79","-579","-0.4206826774588637","366","Top","58.333333333333336","2","-1604","0"
"หวยลาวกาชาด","สองบน","2025","2025-12-31","401","1401","2.099586365778313","365","Mid","41.66666666666667","5","-592","0"
"หวยลาวกาชาด","สองบน","2026","2026-09-11","681","481","5.037354833937421","254","Top","62.5","4","-695","0"
"หวยลาวกาชาด","สองล่าง","2024","2024-12-31","-814","-114","-4.087576579290951","366","Top+Bottom","66.66666666666666","3","-1877","0"
"หวยลาวกาชาด","สองล่าง","2025","2025-12-31","-1513","-1713","-8.353116546127092","365","Top+Mid","41.66666666666667","7","-1806","0"
"หวยลาวกาชาด","สองล่าง","2026","2026-09-11","-633","-733","-4.783495805939697","254","Top","37.5","5","-1134","0"
"หวยลาวก้าวหน้า","สองบน","2025","2025-12-31","932","1032","13.002232142857142","122","Top+Bottom","100","0","-231","0"
"หวยลาวก้าวหน้า","สองบน","2026","2026-09-12","-615","985","-4.17940876656473","255","Top+Bottom","37.5","2","-1113","0"
"หวยลาวก้าวหน้า","สองล่าง","2025","2025-12-31","-990","-1090","-13.580246913580247","122","Top+Bottom","50","3","-1190","0"
"หวยลาวก้าวหน้า","สองล่าง","2026","2026-09-12","-175","325","-1.1608623548922055","255","Mid","87.5","1","-960","0"
"หวยลาวเจริญ","สองบน","2025","2025-12-31","83","-317","1.235670686318297","122","Top+Bottom","50","2","-844","0"
"หวยลาวเจริญ","สองบน","2026","2026-09-12","520","320","4.4520547945205475","255","Top+Mid","75","1","-780","0"
"หวยลาวเจริญ","สองล่าง","2025","2025-12-31","-259","441","-3.567984570877531","122","Top+Mid","100","0","-468","0"
"หวยลาวเจริญ","สองล่าง","2026","2026-09-12","-955","-455","-6.794734969761651","255","Top+Mid+Bottom","62.5","3","-1749","0"
"หวยลาวชนะ","สองบน","2024","2024-12-29","-137","163","-2.474264041899946","94","Top+Mid","50","2","-488","113"
"หวยลาวชนะ","สองบน","2025","2025-05-21","-145","-45","-17.159763313609467","16","Top+Mid","66.66666666666666","1","-192","124"
"หวยลาวชนะ","สองล่าง","2024","2024-12-29","799","-101","14.265309766113193","94","Top","100","0","-180","113"
"หวยลาวชนะ","สองล่าง","2025","2025-05-21","432","432","49.76958525345622","16","Top","100","0","-63","124"
"หวยลาวเช้า","สองบน","2026","2026-09-12","-306","-6","-2.184777952306155","255","Bottom","37.5","4","-1040","0"
"หวยลาวเช้า","สองล่าง","2026","2026-09-12","-157","1043","-1.166679051794605","255","Top+Bottom","50","4","-1126","0"
"หวยลาวซุปเปอร์","สองบน","2024","2024-12-31","-860","-260","-8.548707753479125","183","Top","66.66666666666666","1","-1275","1"
"หวยลาวซุปเปอร์","สองบน","2025","2025-12-31","-1692","808","-8.297371518242448","365","Top+Mid","50","6","-1856","0"
"หวยลาวซุปเปอร์","สองบน","2026","2026-09-12","-2491","-1491","-17.189979987578496","255","Mid","50","5","-2773","0"
"หวยลาวซุปเปอร์","สองล่าง","2024","2024-12-31","544","544","5.51948051948052","183","Bottom","83.33333333333334","2","-715","1"
"หวยลาวซุปเปอร์","สองล่าง","2025","2025-12-31","-2050","-1650","-10.594315245478036","365","Top","41.66666666666667","9","-2180","0"
"หวยลาวซุปเปอร์","สองล่าง","2026","2026-09-12","473","473","3.6309203961004064","255","Top+Bottom","37.5","3","-700","0"
"หวยลาวตอนเช้า","สองบน","2025","2025-12-31","330","430","11.498257839721255","61","Bottom","50","1","-164","12"
"หวยลาวตอนเช้า","สองบน","2026","2026-09-12","46","246","0.3578652559514548","251","Top+Bottom","25","5","-901","4"
"หวยลาวตอนเช้า","สองล่าง","2025","2025-12-31","-628","-428","-18.870192307692307","61","Mid","50","1","-700","12"
"หวยลาวตอนเช้า","สองล่าง","2026","2026-09-12","320","-280","2.4096385542168677","251","Top","62.5","4","-513","4"
"หวยลาวทีวี","สองบน","2024","2024-12-31","-2741","-1541","-12.783918660510238","366","Bottom","33.33333333333333","6","-2892","0"
"หวยลาวทีวี","สองบน","2025","2025-12-31","-644","956","-3.0602547044288158","365","Bottom","66.66666666666666","7","-1092","0"
"หวยลาวทีวี","สองบน","2026","2026-09-12","133","-67","0.9803198938601018","255","Mid+Bottom","50","4","-911","0"
"หวยลาวทีวี","สองล่าง","2024","2024-12-31","1178","878","5.854288838087665","366","Top+Mid+Bottom","33.33333333333333","4","-828","0"
"หวยลาวทีวี","สองล่าง","2025","2025-12-31","-1094","1106","-5.235952905140231","365","Top+Bottom","41.66666666666667","2","-1812","0"
"หวยลาวทีวี","สองล่าง","2026","2026-09-12","4","1404","0.02817695125387433","255","Top+Mid","87.5","1","-932","0"
"หวยลาวนครหลวง","สองบน","2025","2025-12-31","565","-235","7.918710581639804","153","Top+Mid","60","1","-476","0"
"หวยลาวนครหลวง","สองบน","2026","2026-09-12","-635","-1035","-4.72646073688128","255","Top","37.5","3","-1098","0"
"หวยลาวนครหลวง","สองล่าง","2025","2025-12-31","-88","-388","-1.1597258829731154","153","Top+Bottom","40","3","-764","0"
"หวยลาวนครหลวง","สองล่าง","2026","2026-09-12","-347","-247","-2.5059579692352134","255","Top","62.5","3","-1249","0"
"หวยลาวนิยม","สองบน","2025","2025-12-31","531","431","7.96221322537112","122","Mid+Bottom","50","2","-260","0"
"หวยลาวนิยม","สองบน","2026","2026-09-12","18","-882","0.13450904199671201","255","Top+Mid+Bottom","37.5","3","-741","0"
"หวยลาวนิยม","สองล่าง","2025","2025-12-31","-1241","-141","-17.625337310041186","122","Mid","75","1","-1489","0"
"หวยลาวนิยม","สองล่าง","2026","2026-09-12","-1830","-1330","-13.043478260869565","255","Top","62.5","3","-2260","0"
"หวยลาวประตูชัย","สองบน","2024","2024-12-31","-326","-326","-5.321580150179563","122","Bottom","75","1","-535","0"
"หวยลาวประตูชัย","สองบน","2025","2025-12-31","1267","2067","6.140648475742743","365","Top+Mid+Bottom","66.66666666666666","3","-615","0"
"หวยลาวประตูชัย","สองบน","2026","2026-09-12","1062","762","7.902961750260455","255","Mid","62.5","3","-462","0"
"หวยลาวประตูชัย","สองล่าง","2024","2024-12-31","-572","-672","-8.446544595392794","122","Mid","50","2","-780","0"
"หวยลาวประตูชัย","สองล่าง","2025","2025-12-31","1068","968","5.126728110599078","365","Top","66.66666666666666","4","-629","0"
"หวยลาวประตูชัย","สองล่าง","2026","2026-09-12","-250","-1150","-1.9455252918287937","255","Bottom","62.5","2","-972","0"
"หวยลาวพลัส","สองบน","2026","2026-08-19","-270","330","-17.197452229299362","29","Top+Mid","100","0","-396","32"
"หวยลาวพลัส","สองล่าง","2026","2026-08-19","-83","-83","-5.243209096651927","29","Top","100","0","-304","32"
"หวยลาวพัฒนา","สองบน","2024","2024-12-30","-517","-817","-7.065737324039907","151","Top","81.81818181818183","2","-699","214"
"หวยลาวพัฒนา","สองบน","2025","2025-12-31","88","1088","1.0338345864661653","150","Bottom","58.333333333333336","3","-808","215"
"หวยลาวพัฒนา","สองบน","2026","2026-08-21","-1299","501","-18.82881577040151","135","Top","85.71428571428571","2","-1379","98"
"หวยลาวพัฒนา","สองล่าง","2024","2024-12-30","-1746","-1146","-19.737734569296858","151","Mid","36.36363636363637","5","-1906","214"
"หวยลาวพัฒนา","สองล่าง","2025","2025-12-31","-542","-842","-6.656841070989929","150","Top","33.33333333333333","7","-832","215"
"หวยลาวพัฒนา","สองล่าง","2026","2026-08-21","-421","-821","-6.263948817140307","135","Top","71.42857142857143","3","-693","98"
"หวยลาวพัฒนาเช้า","สองบน","2024","2024-12-31","-1208","-1108","-8.103031929165548","306","Top","30","5","-1353","0"
"หวยลาวพัฒนาเช้า","สองบน","2025","2025-12-31","-1280","1420","-6.779661016949152","363","Mid","33.33333333333333","10","-1825","2"
"หวยลาวพัฒนาเช้า","สองบน","2026","2026-09-12","23","-677","0.18888067668555475","255","Bottom","50","4","-649","0"
"หวยลาวพัฒนาเช้า","สองล่าง","2024","2024-12-31","403","1003","2.3992379591593735","306","Top+Bottom","30","6","-656","0"
"หวยลาวพัฒนาเช้า","สองล่าง","2025","2025-12-31","-2469","-669","-12.747173318188858","363","Bottom","33.33333333333333","8","-2516","2"
"หวยลาวพัฒนาเช้า","สองล่าง","2026","2026-09-12","-285","15","-2.067464635473341","255","Bottom","37.5","5","-934","0"
"หวยลาวพัฒนาเช้า VIP","สองบน","2025","2025-12-31","-87","13","-1.103081019399011","151","Top+Mid","40","3","-739","14"
"หวยลาวพัฒนาเช้า VIP","สองบน","2026","2026-09-12","-797","503","-6.428974751956118","255","Bottom","62.5","5","-1530","0"
"หวยลาวพัฒนาเช้า VIP","สองล่าง","2025","2025-12-31","232","-68","2.9116465863453818","151","Top+Bottom","60","2","-546","14"
"หวยลาวพัฒนาเช้า VIP","สองล่าง","2026","2026-09-12","-713","287","-4.91283676703645","255","Top","50","4","-1356","0"
"หวยลาวพัฒนาเที่ยง","สองบน","2025","2025-12-31","716","616","10.712148414123279","121","Top+Bottom","75","1","-646","13"
"หวยลาวพัฒนาเที่ยง","สองบน","2026","2026-09-12","438","38","3.405380189706111","254","Top+Bottom","37.5","3","-644","1"
"หวยลาวพัฒนาเที่ยง","สองล่าง","2025","2025-12-31","23","823","0.33938320790910437","121","Top+Mid","50","2","-642","13"
"หวยลาวพัฒนาเที่ยง","สองล่าง","2026","2026-09-12","371","-329","2.7221366204417055","254","Top+Mid","62.5","1","-729","1"
"หวยลาวพิเศษ","สองบน","2025","2025-12-31","-338","-338","-9.553420011305823","61","Top+Mid","100","0","-492","5"
"หวยลาวพิเศษ","สองบน","2026","2026-09-12","763","263","5.852573444810923","255","Top+Mid+Bottom","62.5","4","-435","0"
